date_of_interest,CASE_COUNT
4/22/2020,3446
4/23/2020,2841
4/24/2020,2535
4/25/2020,1595
4/26/2020,1003
4/27/2020,2290
4/28/2020,2726
4/29/2020,2339
4/30/2020,2021
5/1/2020,1886
5/2/2020,1058
5/3/2020,787
5/4/2020,1549
5/5/2020,1512
5/6/2020,1397
5/7/2020,1238
5/8/2020,1079
5/9/2020,657
5/10/2020,457
5/11/2020,1231
5/12/2020,1285
5/13/2020,1333
5/14/2020,1111
5/15/2020,873
5/16/2020,485
5/17/2020,360
5/18/2020,894
5/19/2020,1002
5/20/2020,1077
5/21/2020,1069
5/22/2020,1036
5/23/2020,455
5/24/2020,467
5/25/2020,464
5/26/2020,1050
5/27/2020,740
5/28/2020,646
5/29/2020,638
5/30/2020,346
5/31/2020,230
6/1/2020,686
6/2/2020,570
6/3/2020,515
6/4/2020,517
6/5/2020,402
6/6/2020,247
6/7/2020,197
6/8/2020,447
6/9/2020,419
6/10/2020,363
6/11/2020,363
6/12/2020,409
6/13/2020,196
6/14/2020,180
6/15/2020,380
6/16/2020,419
6/17/2020,356
6/18/2020,378
6/19/2020,361
6/20/2020,203
6/21/2020,172
6/22/2020,402
6/23/2020,381
6/24/2020,381
6/25/2020,298
6/26/2020,317
6/27/2020,206
6/28/2020,201
6/29/2020,437
6/30/2020,442
7/1/2020,396
7/2/2020,416
7/3/2020,233
7/4/2020,120
7/5/2020,155
7/6/2020,431
7/7/2020,461
7/8/2020,437
7/9/2020,391
7/10/2020,307
7/11/2020,259
7/12/2020,223
7/13/2020,483
7/14/2020,403
7/15/2020,440
7/16/2020,411
7/17/2020,413
7/18/2020,216
7/19/2020,175
7/20/2020,404
7/21/2020,341
7/22/2020,328
7/23/2020,309
7/24/2020,299
7/25/2020,153
7/26/2020,140
7/27/2020,313
7/28/2020,313
7/29/2020,287
7/30/2020,274
7/31/2020,262
8/1/2020,189
8/2/2020,135
8/3/2020,348
8/4/2020,187
8/5/2020,298
8/6/2020,288
8/7/2020,255
8/8/2020,160
8/9/2020,133
8/10/2020,312
8/11/2020,263
8/12/2020,320
8/13/2020,276
8/14/2020,277
8/15/2020,151
8/16/2020,140
8/17/2020,333
8/18/2020,283
8/19/2020,257
8/20/2020,227
8/21/2020,252
8/22/2020,136
8/23/2020,150
8/24/2020,297
8/25/2020,283
8/26/2020,313
8/27/2020,274
8/28/2020,280
8/29/2020,128
8/30/2020,186
8/31/2020,315
9/1/2020,294
9/2/2020,271
9/3/2020,273
9/4/2020,229
9/5/2020,156
9/6/2020,207
9/7/2020,217
9/8/2020,393
9/9/2020,353
9/10/2020,323
9/11/2020,313
9/12/2020,202
9/13/2020,263
9/14/2020,461
9/15/2020,414
9/16/2020,456
9/17/2020,441
9/18/2020,292
9/19/2020,218
9/20/2020,220
9/21/2020,558
9/22/2020,497
9/23/2020,612
9/24/2020,542
9/25/2020,463
9/26/2020,280
9/27/2020,382
9/28/2020,437
9/29/2020,723
9/30/2020,606
10/1/2020,705
10/2/2020,605
10/3/2020,299
10/4/2020,335
10/5/2020,766
10/6/2020,571
10/7/2020,541
10/8/2020,526
10/9/2020,524
10/10/2020,314
10/11/2020,281
10/12/2020,515
10/13/2020,588
10/14/2020,583
10/15/2020,603
10/16/2020,504
10/17/2020,366
10/18/2020,412
10/19/2020,626
10/20/2020,601
10/21/2020,654
10/22/2020,759
10/23/2020,601
10/24/2020,386
10/25/2020,362
10/26/2020,695
10/27/2020,742
10/28/2020,782
10/29/2020,621
10/30/2020,654
10/31/2020,403
11/1/2020,501
11/2/2020,953
11/3/2020,903
11/4/2020,1113
11/5/2020,1139
11/6/2020,1037
11/7/2020,845
11/8/2020,788
11/9/2020,1545
11/10/2020,1598
11/11/2020,1539
11/12/2020,1502
11/13/2020,1494
11/14/2020,1025
11/15/2020,896
11/16/2020,1832
11/17/2020,1730
11/18/2020,1753
11/19/2020,1857
11/20/2020,1773
11/21/2020,1290
11/22/2020,1148
11/23/2020,2317
11/24/2020,2074
11/25/2020,2371
11/26/2020,817
11/27/2020,2299
11/28/2020,1840
11/29/2020,1891
11/30/2020,2895
12/1/2020,3308
12/2/2020,3130
12/3/2020,2945
12/4/2020,2817
12/5/2020,1887
12/6/2020,1754
12/7/2020,3304
